Id,drama_id,cast_id,relation,
1,1,501,actor,
2,1,502,actor,
3,1,503,actor,
4,1,504,actor,
5,1,505,actor,
6,1,506,actor,
7,1,507,actor,
8,1,508,actor,
9,1,509,actor,
10,1,510,actor,
11,1,511,actor,
12,1,512,actor,
13,2,513,actor,
14,2,514,actor,
15,2,515,actor,
16,2,516,actor,
17,2,517,actor,
18,2,518,actor,
19,2,519,actor,
20,2,520,actor,
21,3,521,actor,
22,3,522,actor,
23,4,523,actor,
24,4,524,actor,
25,4,525,actor,
26,4,526,actor,
27,4,527,actor,
28,4,528,actor,
29,4,529,actor,
30,4,530,actor,
31,4,531,actor,
32,4,532,actor,
33,5,55,actor,
34,5,533,actor,
35,5,534,actor,
36,5,535,actor,
37,5,536,actor,
38,5,537,actor,
39,5,538,actor,
40,6,539,actor,
41,7,129,actor,
42,7,540,actor,
43,7,541,actor,
44,7,542,actor,
45,7,543,actor,
46,7,544,actor,
47,7,545,actor,
48,7,546,actor,
49,8,547,actor,
50,8,548,actor,
51,8,549,actor,
52,8,550,actor,
53,8,551,actor,
54,8,552,actor,
55,8,553,actor,
56,9,554,actor,
57,9,555,actor,
58,9,556,actor,
59,9,557,actor,
60,9,558,actor,
61,9,559,actor,
62,9,560,actor,
63,10,561,actor,
64,10,562,actor,
65,10,563,actor,
66,10,564,actor,
67,10,565,actor,
68,10,566,actor,
69,11,567,actor,
70,11,568,actor,
71,11,569,actor,
72,12,570,actor,
73,12,571,actor,
74,12,572,actor,
75,12,345,actor,
76,12,573,actor,
77,12,574,actor,
78,12,575,actor,
79,12,576,actor,
80,12,577,actor,
81,12,578,actor,
82,12,579,actor,
83,12,580,actor,
84,12,581,actor,
85,12,582,actor,
86,12,583,actor,
87,12,584,actor,
88,12,585,actor,
89,12,586,actor,
90,13,587,actor,
91,13,128,actor,
92,13,588,actor,
93,13,589,actor,
94,13,590,actor,
95,13,591,actor,
96,13,592,actor,
97,13,593,actor,
98,13,594,actor,
99,13,595,actor,
100,13,596,actor,
101,13,597,actor,
102,13,598,actor,
103,13,599,actor,
104,13,600,actor,
105,13,601,actor,
106,13,602,actor,
107,13,603,actor,
108,14,186,actor,
109,14,604,actor,
110,14,605,actor,
111,14,606,actor,
112,14,607,actor,
113,14,608,actor,
114,14,609,actor,
115,14,347,actor,
116,14,610,actor,
117,14,611,actor,
118,14,612,actor,
119,14,613,actor,
120,14,614,actor,
121,14,615,actor,
122,14,616,actor,
123,14,617,actor,
124,14,618,actor,
125,14,619,actor,
126,15,383,actor,
127,15,620,actor,
128,15,621,actor,
129,15,622,actor,
130,15,623,actor,
131,15,624,actor,
132,15,625,actor,
133,15,626,actor,
134,15,627,actor,
135,15,628,actor,
136,15,629,actor,
137,16,630,actor,
138,16,631,actor,
139,16,632,actor,
140,16,633,actor,
141,16,634,actor,
142,17,635,actor,
143,17,636,actor,
144,17,588,actor,
145,17,637,actor,
146,17,638,actor,
147,17,639,actor,
148,17,640,actor,
149,17,641,actor,
150,18,642,actor,
151,18,643,actor,
152,18,644,actor,
153,18,645,actor,
154,18,646,actor,
155,18,647,actor,
156,19,648,actor,
157,19,649,actor,
158,19,650,actor,
159,19,651,actor,
160,19,652,actor,
161,19,653,actor,
162,19,654,actor,
163,20,655,actor,
164,20,656,actor,
165,20,657,actor,
166,20,658,actor,
167,20,659,actor,
168,21,660,actor,
169,21,661,actor,
170,21,662,actor,
171,21,663,actor,
172,22,664,actor,
173,22,665,actor,
174,23,666,actor,
175,23,667,actor,
176,24,668,actor,
177,24,669,actor,
178,24,670,actor,
179,24,671,actor,
180,24,672,actor,
181,24,673,actor,
182,24,674,actor,
183,24,675,actor,
184,24,676,actor,
185,24,677,actor,
186,24,678,actor,
187,25,679,actor,
188,25,680,actor,
189,25,681,actor,
190,25,682,actor,
191,25,683,actor,
192,25,684,actor,
193,25,685,actor,
194,25,686,actor,
195,25,687,actor,
196,25,688,actor,
197,25,689,actor,
198,25,690,actor,
199,25,691,actor,
200,25,692,actor,
201,25,693,actor,
202,25,694,actor,
203,25,695,actor,
204,26,696,actor,
205,26,697,actor,
206,26,698,actor,
207,26,699,actor,
208,26,700,actor,
209,26,701,actor,
210,26,702,actor,
211,26,703,actor,
212,26,704,actor,
213,26,705,actor,
214,26,706,actor,
215,26,707,actor,
216,26,708,actor,
217,26,709,actor,
218,26,710,actor,
219,27,711,actor,
220,27,712,actor,
221,27,713,actor,
222,27,714,actor,
223,27,715,actor,
224,27,716,actor,
225,27,717,actor,
226,27,718,actor,
227,28,719,actor,
228,28,720,actor,
229,28,721,actor,
230,28,722,actor,
231,29,723,actor,
232,29,724,actor,
233,29,725,actor,
234,29,726,actor,
235,29,727,actor,
236,29,728,actor,
237,29,729,actor,
238,29,730,actor,
239,29,731,actor,
240,29,249,actor,
241,29,732,actor,
242,29,733,actor,
243,1,734,director,
244,2,735,director,
245,3,736,director,
246,4,737,director,
247,5,738,director,
248,6,739,director,
249,7,541,director,
250,8,735,director,
251,9,740,director,
252,10,741,director,
253,11,742,director,
254,12,743,director,
255,13,418,director,
256,14,744,director,
257,15,737,director,
258,16,745,director,
259,17,746,director,
260,18,747,director,
261,19,748,director,
262,20,749,director,
263,21,750,director,
264,22,746,director,
265,23,751,director,
266,24,752,director,
267,25,753,director,
268,26,750,director,
269,27,754,director,
270,28,755,director,
271,29,756,director,
272,1,757,writer,
273,2,758,writer,
274,3,736,writer,
275,4,744,writer,
276,5,759,writer,
277,6,739,writer,
278,7,541,writer,
279,8,760,writer,
280,9,740,writer,
281,10,758,writer,
282,11,742,writer,
283,12,761,writer,
284,13,418,writer,
285,14,744,writer,
286,15,762,writer,
287,16,763,writer,
288,17,746,writer,
289,18,764,writer,
290,19,765,writer,
291,20,766,writer,
292,21,767,writer,
293,22,746,writer,
294,23,768,writer,
295,24,769,writer,
296,25,753,writer,
297,26,770,writer,
298,27,771,writer,
299,28,767,writer,
300,29,772,writer,